,city,latitude,longitude,runners,distance,population,canton
533,F-Poce sur Cisse,47.443001,0.990935,1,607367.0,nan,nan
534,F-Billere,43.302207,-0.39742,1,937004.0,nan,nan
535,F-Pau,43.2951,-0.370797,2,934109.0,nan,nan
536,F-Courbouzon,46.650943,5.529427999999999,1,135411.0,nan,nan
537,Chalais,45.272855,0.039542,3,699599.0,nan,nan
538,St-Barthélemy VD,46.6368795,6.602289,4,23933.0,nan,nan
539,F-Hussigny Godbrange,49.49295300000001,5.872779,1,431061.0,nan,nan
540,St-Triphon,46.28785,6.97661,2,50973.0,nan,nan
541,Thônex,46.19283739999999,6.202767,21,68698.0,13955,GE
542,F-Logelheim,48.02017499999999,7.407025999999999,1,261048.0,nan,nan
543,Sezegnin,46.1446225,6.0077763,1,75921.0,nan,nan
544,F-Les Auxons,47.3005089,5.9493453,1,141564.0,nan,nan
545,Bassins,n,a,15,42144.0,nan,nan
546,Rheinfelden,47.55219,7.7922914,5,197210.0,13105,AG
547,Bevaix,46.9307449,6.815188699999999,12,61382.0,nan,nan
548,Perroy,46.4681574,6.361877,7,25597.0,nan,nan
549,F-Combloux,45.896937,6.641305999999999,2,139534.0,nan,nan
550,F-Sault Brenaz,45.8570909,5.406098999999999,2,182792.0,nan,nan
551,Châtelaine,33.8252355,-118.3392547,13,,nan,nan
552,Fully,46.1385386,7.1181106,14,73337.0,nan,nan
553,Marly,48.8602,2.0980966,11,367222.0,nan,nan
554,Billens,46.6903425,6.899439699999999,2,38127.0,nan,nan
555,Ste-Croix,46.8217968,6.502222199999999,6,,nan,nan
556,Suchy,49.482795,16.7623831,5,1475275.0,nan,nan
557,Romanshorn,47.5657078,9.3771959,2,328280.0,10753,TG
558,USA-Wayne,40.92537249999999,-74.2765441,1,,nan,nan
559,Saillon,46.1707092,7.1858418,7,80735.0,2482,VS
560,Trélex,46.4153505,6.204892099999999,11,42203.0,nan,nan
561,Henniez,46.7422803,6.883394999999999,3,34214.0,nan,nan
562,Leytron,46.1866297,7.208701500000001,7,83478.0,nan,nan
563,Abtwil SG,47.4236942,9.3195832,1,302459.0,nan,nan
564,St-George,37.0965278,-113.5684164,1,,nan,nan
565,Euseigne,46.171667,7.422778,1,110886.0,nan,nan
566,Jouxtens-Mézery,46.55043,6.598739999999999,23,4576.0,nan,nan
567,Schaffhausen,47.6958897,8.6380488,2,273724.0,35948,SH
568,Vuarrens,46.68608829999999,6.6472988,6,21158.0,nan,nan
569,Ballens,46.5543525,6.3753084,2,25580.0,nan,nan
570,Daillens,46.6205182,6.5485233,10,16447.0,nan,nan
571,Aran,17.9318657,75.3640652,9,,nan,nan
572,Erlenbach im Simmental,46.6605558,7.552995999999999,2,154928.0,nan,nan
573,F-Bailleau Armenonville,48.5219415,1.6497911,1,550855.0,nan,nan
574,F-Lully,46.50538,6.4653546,1,15898.0,nan,nan
575,F-Yvoire,46.368685,6.325756,2,88975.0,nan,nan
576,Vucherens,46.62489160000001,6.7799016,4,19551.0,nan,nan
577,I-Monza (MB),45.5845001,9.2744485,1,337392.0,nan,nan
578,F-Bians les Usiers,46.96073699999999,6.268453,1,80316.0,nan,nan
579,Penthaz,46.5993131,6.539251200000001,9,15232.0,nan,nan
580,Givisiez,46.8128615,7.131657799999999,2,71519.0,nan,nan
581,Aegerten,47.12150949999999,7.2886279,1,108887.0,nan,nan
582,F-Metz Tessy,45.9388861,6.1036278,3,100625.0,nan,nan
583,Cuarnens,46.62476040000001,6.4388657,10,25214.0,nan,nan
584,La Croix-de-Rozon,46.1445989,6.1361365,6,73916.0,nan,nan
585,F-Montigny Les Metz,49.099068,6.147806999999999,1,372645.0,nan,nan
586,Aïre,n,a,3,,nan,nan
587,Confignon,46.1740305,6.0835592,6,69106.0,nan,nan
588,Féchy,46.47957,6.372875,11,24405.0,nan,nan
589,Weinfelden,47.5660299,9.1084456,1,283807.0,11187,TG
590,Mossel,46.600007,6.850001,1,1195584.0,nan,nan
591,Ecublens FR,46.6100401,6.8085792,3,21580.0,nan,nan
592,F-Vetraz Monthoux,46.174611,6.258241,5,89882.0,nan,nan
593,Eclagnens,46.6521988,6.5924467,8,21810.0,nan,nan
594,Commugny,46.3187046,6.1774577,8,49436.0,nan,nan
595,F-Meteren,51.863947,5.2813551,2,720185.0,nan,nan
596,F-Lille,50.62925,3.057256,5,688701.0,nan,nan
597,Val-d'Illiez,46.2044076,6.8927592,5,60087.0,nan,nan
598,Bettens,46.62798890000001,6.577331699999999,7,21532.0,nan,nan
599,Petit-Lancy,46.1923106,6.115584699999999,19,65980.0,nan,nan
